qid,sentid,question,sentence text,label
2631,3,List major risk factors for Alzheimer's disease. ,Hypertension is one of the major risk factors for central nervous system (CNS) disorders like stroke and Alzheimer's disease (AD).,1
35,17,What are the main indications of lacosamide?,"These results suggest that lacosamide may have the potential to be clinically useful for at least the treatment of generalized tonic-clonic and partial-onset epilepsies, and support ongoing clinical trials in these indications.",0
2615,8,Which disease is treated with Fexinidazole?,"Fexinidazole metabolites were effective in treating T. cruzi in a mouse model of acute infection, with cure rates superior to those achieved with either fexinidazole itself or benznidazole.",0
184,0,How could we infer functional associations from gene fusion events?,Gene fusion is an important evolutionary process.,0
4038,14,Is the process of DNA loop-extrusion independent of ATP?,"In support of this model, single-molecule imaging experiments indicate that Saccharomyces cerevisiae condensin complexes can extrude DNA loops in an ATP-hydrolysis-dependent manner in vitro.",0
1787,27,Which are the consequences of the hyperphosphorylated tau in Alzheimers' Disease?,"Hyperphosphorylation, which diminishes the microtubule-binding capacity of tau, destabilizes microtubules and may enhance the formation of paired helical filaments that constitute neurofibrillary tangles in Alzheimer's disease.",0
1215,9,Is zolpidem an antibiotic?,"According to its peculiar neuropharmacologic activity (selectivity for the omega 1-BZ receptors), zolpidem is expected to be a pure hypnotic, without the other effects of BZs.",0
1653,20,Is imatinib an antidepressant drug?,Indications present in the legal documentation were compared to the indications approved by regulatory agencies.,0
347,0,Could the Menzerath-Altmann law be proved mathematically trivial in genomes?,Here we review the statistical foundations of that test and consider three non-parametric tests based upon different correlation metrics and one parametric test to evaluate if Z ∼ 1/X in genomes.,1
4044,1,What is TSA-Seq used for?,"we describe TSA-Seq, a new mapping method capable of providing a ""cytological ruler"" for estimating mean chromosomal distances from nuclear speckles genome-wide and for predicting several Mbp chromosome trajectories between nuclear compartments without sophisticated computational modeling",1
4080,47,Which cytokine molecule activates SMADs?,"Indeed, knockdown of Smad7 with a specific antisense oligonucleotide restores endogenous TGF-β1 activity, thereby inhibiting inflammatory pathways in patients with IBD and colitic mice.",0
1843,3,Are deletions of chromosomal regulatory boundaries associated with congenital disease?,Deletions of chromosomal regulatory boundaries are associated with congenital disease.,1
1698,17,Mutation of which gene is associated with McLeod syndrome?,"MLS is an X-linked multi-system disorder caused by absence of XK alone, or when the disorder is caused by large deletions, it may be accompanied with Duchenne muscular dystrophy (DMD), chronic granulomatous disease (CYBB), retinitis pigmentosa (RPGR), and ornithine transcarbamylase deficiency (OTC).",0
1580,20,Do Conserved noncoding elements act as enhancers?,"We identify and characterize highly conserved noncoding elements flanking the TNF gene, which undergo activation-dependent intrachromosomal interactions.",1
1245,12,Where can we find the protein lacritin?,The previously reported restricted expression pattern of lacritin is therefore incorrect.,0
2913,3,Endolymphatic hydrops is associated with Meniere’s disease. Please provide a summary of endoymphatic hydrops including the symptoms and affected body part.,We performed 3D-FLAIR sequences 4 h after a single intravenous dose of contrast agent.,0
1494,22,What is the role of the Ada O6-alkylguanine alkyltransferase in bacteria?,The protein O 6-alkylguanine-DNA alkyltransferase(alkyltransferase) is involved in the repair of O 6-alkylguanine and O 4-alkylthymine in DNA and plays an important role in most organisms in attenuating the cytotoxic and mutagenic effects of certain classes of alkylating agents.,0
2317,7,Which proteins are controlling sterol metabolism in S. cerevisiae?," Taken together, our results indicate that Upc2p is a key regulator of ergosterol metabolism.",0
86,23,Which antibiotics target peptidoglycan biosynthesis?,"Unlike vancomycin however, mersacidin inhibits peptidoglycan formation from UDP-N-acetylmuramoyl-tripeptide and is active against Enterococcus faecium expressing the vanA resistance gene cluster.",0
148,27,Which is the cellular localization of the protein Opa1?,"Unlike other dynamin family members, Opa1 has an N-terminal mitochondrial targeting sequence, suggesting that this protein is imported into mitochondria.",0
42,15,Is irritable bowel syndrome more common in women with endometriosis?,"CONCLUSIONS: Women with endometriosis are more likely to be diagnosed with IBS and PID than controls, even after a definitive diagnosis of endometriosis has been reached.",1
3975,17,What is the effect of Dkk1 in Wnt signaling?,"DKK1, a negative regulator of Wnt signaling, is a target of the beta-catenin/TCF pathway.",0
2504,6,Describe Click-PEGylation,Separation of the thiol labelling step from the PEG conjugation greatly facilitates the fidelity and flexibility of this approach.,1
2201,6,What is the role of DNA Repair Cofactors ATMIN and NBS1?,Our findings reveal a novel model for an intestinal bowel disease phenotype that occurs upon combined loss of the DNA repair cofactors ATMIN and NBS1.,0
3109,6,Please list 2 antitoxin antibodies approved by the FDA for reducing the recurrence of Clostridium difficile infection,Bezlotoxumab: anti-toxin B monoclonal antibody to prevent recurrence of Clostridium difficile infection.,0
1182,46,Is macroautophagy a selective degradation process?,ransfer of Y. lipolytica cells from oleate/ethylamine to glucose/ammonium chloride medium leads to selective macroautophagy of peroxisomes.,0
1973,16,Which are the main brain dysfunctions caused by hyperbilirubinemia?,It has been suggested recently that there is an association between hyperbilirubinemia and long-term neurologic dysfunctions.,0
799,2,What is the average diameter of intermediate filaments?,"After removing IFs by calcination, electron microscopy revealed hollow silica nanotubes several micrometers long, with outer diameters of 35-55 nm and an average inner diameter of 10 nm (comparable to that of IFs)",1
2064,0,What is the mechanism of action of verubecestat?,The BACE1 inhibitor verubecestat (MK-8931) reduces CNS β-amyloid in animal models and in Alzheimer's disease patients.,0
2197,14,Is Pfh1 a component of the replisome?,"Cells depleted of Pfh1 were inviable if they also lacked the human TIMELESS homolog Swi1, a replisome component that stabilizes stalled forks.",0
1221,41,List algorithms suitable for predicting protein complexes,Here we explain the development and implementation of a novel Protein-Protein Interaction Prediction Engine termed PIPE.,0
1576,44,Which are the DNA (cytosine-5-)-methyltransferases inhibitors?,Defining the parameters of zebularine-mediated tumor inhibition may advance the future development of DNA methyltransferase inhibitors as an effective cancer treatment.,0
1296,1,Which proteins are related to the loss of cell-cell adhesion during EMT (epithelial-mesenchymal transition)?," In addition to signaling pathways that alter genetic programes that trigger the loss of cell-cell adhesion, alternative pathways can alter cell plasticity to regulate cell-cell cohesion and increase invasive potential",0
3987,25,Which cancer types are associated with mutations in the TWIST1 gene?,Disruption of ETV6 leads to TWIST1-dependent progression and resistance to epidermal growth factor receptor tyrosine kinase inhibitors in prostate cancer,0
2780,4,Is cariprazine effective for treatment of bipolar disorder?,"OBJECTIVE: Cariprazine, a dopamine D3/D2 partial agonist atypical antipsychotic with preferential binding to D3 receptors, is approved for the treatment of schizophrenia and manic or mixed episodes associated with bipolar I disorder.",1
209,9,Which enzyme does MLN4924 inhibit?,The Nedd8-activating enzyme inhibitor MLN4924 thwarts microenvironment-driven NF-κB activation and induces apoptosis in chronic lymphocytic leukemia B cells.,0
3462,6,What is the mechanism of action of Erdafitinib?,"Discovery and Pharmacological Characterization of JNJ-42756493 (Erdafitinib), a Functionally Selective Small-Molecule FGFR Family Inhibitor.",0
2402,2,What is the function of STAR elements in yeast telomeres?, The telomere-proximal portion of either X or Y' dampened silencing when located between the telomere and the reporter gene.,1
860,6,Is hypersensitivity to DNA crosslinking agents a hallmark of Fanconi anemia?,"Fanconi anemia (FA) is characterized by cellular hypersensitivity to DNA crosslinking agents, but how the Fanconi pathway protects cells from DNA crosslinks and whether FA proteins act directly on crosslinks remain unclear.",0
1823,7,Is Annexin V an apoptotic marker?,"Expression of the apoptotic marker annexin V was unaffected by antibiotic exposure, whereas the uptake of the necrotic marker PI was increased by ofloxacin (5 mg/mL) but not by netilmicin (ofloxacin versus netilmicin, ANOVA, P<0.05).",0
2559,5,Are there ways of joint Bayesian inference of risk variants?,We applied RiVIERA to model the existing GWAS summary statistics of 9 autoimmune diseases and Schizophrenia by jointly harnessing the potential causal enrichments among 848 tissue-specific epigenomics annotations from ENCODE/Roadmap consortium covering 127 cell/tissue types and 8 major epigenomic marks.,0
152,9,What is known about clinical efficacy of ceftriaxone for treatment of amyotrophic lateral sclerosis?,"Ceftriaxone, one of the beta-lactam antibiotics, is a stimulator of EAAT2 expression with neuroprotective effects in both in vitro and in vivo models based in part on its ability to inhibit neuronal cell death by glutamate excitotoxicity.",0
728,6,Is the Prostate- Specific Antigen (PSA) test relevant only for prostate cancer?,"Routine cancer screening with prostate-specific antigen (PSA) is controversial, and practice guidelines recommend that men be counseled about its risks and benefits",0
578,11,What are the mobile applications fields of use for patients ?,"to examine the current available mobile smartphone applications (e.g., apps) that utilize principles of ecological momentary assessment (EMA)-daily self-monitoring or near real-time self-assessment of alcohol-use behavior-to promote positive behavior change, alcohol harm reduction, psycho-education about alcohol use, or abstinence from alcohol.",0
3675,8,Which are the databases for intrinsic protein disorders?,"In contrast to previous assessments based on missing X-ray data, this dataset contains mostly long ID regions and a significant amount of fully ID proteins.",0
693,33,Which gene test can be used for the X-linked myotubular myopathy?,"X-linked myotubular myopathy (XLMTM) is a congenital muscular disease characterized by severe hypotonia and generalized muscle weakness, leading in most cases to early postnatal death.",0
1857,22,What is the function of transthyretin in cerebrospinal fluid?,Transthyretin (TTR) is a homotetrameric serum and cerebrospinal fluid protein that transports both thyroxine (T(4)) and the retinol-retinol binding protein complex (holoRBP),0
647,52,Which genes are associated with autosomal dominant Charcot-Marie-Tooth?,"We conclude that dynamin 2 mutations should be screened in the autosomal dominant Charcot-Marie-Tooth neuropathy families with intermediate or axonal NCV, and in patients with a classical mild to moderately severe Charcot-Marie-Tooth phenotype, especially when Charcot-Marie-Tooth is associated with neutropaenia or cataracts.",0
839,6,Are seizures among the neurological symptoms of incontinentia pigmenti?,"The involved gene is NEMO, an essential component of the nuclear factor-kappa B (NF-κB) signaling pathway.",0
1911,22,What is MRSA?,"This article explains what methicillin-resistant Staphylococcus aureus (MRSA) is, how it is spread and what the real challenges are in healthcare settings in the UK.",0
4120,0,Are Gram positive bacteria able to release extracellular vesicles?,Gram-negative and Gram-positive bacteria release a variety of membrane vesicles through different formation routes.,1
2313,1,Are there RNAi approaches considered for the treatment of kidney injury?,"fCNT enhanced siRNA delivery to tubule cells compared to siRNA alone and effectively knocked down the expression of several target genes, includingTrp53,Mep1b,Ctr1, andEGFP A clinically relevant cisplatin-induced murine model of AKI was used to evaluate the therapeutic potential of fCNT-targeted siRNA to effectively halt the pathogenesis of renal injury.",1
2989,25,Sweat Chloride Testing is used  for which disease?,"Due to the large number of mutations that can result in classical or atypical CF phenotype, the sweat test, which quantifies the amount of chloride and sodium in sweat, is vital in supporting the diagnosis of CF.",0
1765,6,Is the toxin produced by Clostridium botulinum always deadly?,"Botulinum neurotoxin (BoNT) serotype B (BoNT/B) is one of the serotypes of BoNT that causes deadly human botulism, though it is used clinically for treatment of many neuromuscular diseases.",0
991,17,What is the role of venous angioplasty in multiple sclerosis?," Spontaneously performed approach to CCSVI does not improve clinical and MRI parameters, despite frequent subjective perception of quality of life improvement.",0
161,12,How do histone methyltransferases cause histone modification?,The histone H4 N-terminal tail has long been regarded as a major regulator in chromatin structure and function.,0
3924,2,What is the function of ketohexokinase-A?,"Ketohexokinase (KHK), a primary enzyme in fructose metabolism, has two isoforms, namely, KHK-A and KHK-C.",1
2783,4,Can pets affect infant microbiomed?,Exposure to household furry pets influences the gut microbiota of infant at 3-4 months following various birth scenarios.,1
2322,19,Which drugs were tested in the KEYNOTE-006 study?,The model used Kaplan-Meier estimates of progression-free survival and overall survival from a recent randomized phase 3 study (KEYNOTE-006) that compared pembrolizumab and ipilimumab.,0
3527,17,Does metformin alleviate atherosclerosis?,Metformin ameliorates the progression of atherosclerosis via suppressing macrophage infiltration and inflammatory responses,1
1968,6,Is infertility characteristic of individuals with Fanconi anemia?,"Measurement of AMH at the time of FA diagnosis and subsequent monitoring of AMH levels at regular intervals may be useful for the timely management of complications related to POI such as subfertility/infertility, osteoporosis, and menopausal symptoms.",0
2463,2,Can Logic Alignment Free (LAF) be used for bacterial genomes classification?,This method searches for a minimal subset of k-mers whose relative frequencies are used to build classification models as disjunctive-normal-form logic formulas (if-then rules).,0
891,62,Is NOD1 activated in inflammation?,The effect of NOD1 and NOD2 activation on inflammation and the insulin signalling pathway was also assessed.,0
2186,12,Can acupuncture cause spinal epidural hematoma?,Unintentional acupuncture needling of the thoracic spinal canal produced a spinal epidural hematoma and subarachnoid hemorrhage,1
3806,4,Does head ct increase brain tumor risk?,"However, we found 1) a statistically significant correlation between radiation dose and age at procedure, as well as number and type of procedures, and 2) a substantial increase in lifetime predicted risk of tumor above baseline in the cohort of young children who undergo neurointerventions.CONCLUSIONS: Although neurointerventional procedures have dramatically improved the prognosis of children facing serious cerebrovascular conditions, the predicted risk of secondary tumors, particularly in the youngest patients and those undergoing multiple procedures, is sobering.",0
309,2,Is TREM2 associated with Alzheimer's disease in humans?,possible involvement of TREM2 in AD pathogenesis.,0
3255,1,Can Daptacel be used instead of IPOL?,"DTaP(5)-IPV-Hib is a suitable replacement for separately administered DTaP, IPV, and Hib vaccines.",1
163,44,Does MicroRNA-21 (miR-21) contribute to cardiovascular disease?,MicroRNA-21 as therapeutic target in cancer and cardiovascular disease.,0
767,8,Is tubulin acetylation involved in cell motility?,"Our results indicate that TPPP/p25 binds to HDAC6 (histone deacetylase 6), an enzyme responsible for tubulin deacetylation.",0
2435,16,Which are the main transcriptional activators of circadian oscillations?,clock bmal independent circadian oscillation of zebrafish cryptochrome1a gene,0
677,7,Are there any urine biomarkers for bladder cancer diagnosis?,"An 8-biomarker model achieved the most accurate BCa diagnosis (sensitivity 92%, specificity 97%), but a combination of 3 of the 8 biomarkers (IL-8, VEGF, and APOE) was also highly accurate (sensitivity 90%, specificity 97%).",0
986,19,What is the mechanism of microRNA deregulation in carcinogenesis?,miR-106b downregulates adenomatous polyposis coli and promotes cell proliferation in human hepatocellular carcinoma.,0
534,14,List inflammatory caspase proteins?,the inflammatory caspase-1,1
2576,4,Which algorithm has been proposed for efficient storage of WGS variant calls?,"However, VCF files are large and data retrieval is relatively slow.",0
985,15,Is JTV519 (K201) a potential drug for the prevention of arrhythmias?,K201 fails to prevent DADs in RyR2(R4496C+/-) myocytes and ventricular arrhythmias in RyR2(R4496C+/-) mice,0
3042,4,Is Semagacestat effective for treatment of Alzheimer's disease?,"CONCLUSIONS: As compared with placebo, semagacestat did not improve cognitive status, and patients receiving the higher dose had significant worsening of functional ability.",1
3271,19,Salzburg EEG criteria are used to diagnose which disorder?,Clinical presentations and the Salzburg EEG criteria for NCSE were used to identify patients with NCSE after CSE.,1
4153,24,Which drugs are included in the MAID chemotherapy regimen for sarcoma?,"A regimen of preoperative chemotherapy consisting of mesna, adriamycin, ifosfamide, and dacarbazine (MAID) interdigitated with radiotherapy followed by resection and postoperative chemotherapy with or without radiotherapy was designed to improve treatment",0
1647,4,What is the mode of inheritance of  long QT  Jervell and Lange-Nielsen syndrome?,"Jervell and Lange-Nielsen syndrome (MIM 220400; JLNS), is a rare form of profound congenital deafness combined with syncopal attacks and sudden death due to prolonged QTc; it is an autosomal recessive trait.",0
1836,0,What is the effect of nocodazole cell treatment?,"antimitotic SAC-inducing agents (i.e., nocodazole",1
373,34,Which transcription factors are involved in E-cadherin repression during EMT?,"In human cancer cells, transcript levels of deltaEF1 correlated directly with the extent of E-cadherin repression and loss of the epithelial phenotype.",0
361,8,What are the names of anti-CD52 monoclonal antibody that is used for treatment of multiple sclerosis patients?,These results potentially help explain the level of immunocompetence observed in alemtuzumab-treated MS patients.,0
3523,11,Is SATB1 positioned close to AT-rich sequences?,"The Special AT-rich Sequence Binding Protein 1 (SATB1) exerts multiple functions, by influencing the structural organization of chromatin and interacting with several co-activators and co-repressors of transcription.",0
3581,1,What is Perturb-seq?,"Genetic screens help infer gene function in mammalian cells, but it has remained difficult to assay complex phenotypes-such as transcriptional profiles-at scale.",0
694,18,Is there a phylogenetic analysis for HIV?," Finally, a phylogenetic tree was constructed to elucidate the observed pattern of HIV TDR",0
522,11,What constitutes an increased risk for individuals with Fanconi anemia?,"BACKGROUND: Fanconi anemia (FA) is a rare autosomal recessive genetic disorder characterized by bone marrow failure and increased risk of cancers including acute myelogenous leukemia and various solid tumors, especially head and neck cancer.",1
3534,4,Is Huntington's disease caused by a dominate or recessive gene?,"The D4S10 locus, defined by the probe G8 and linked to the gene for Huntington's disease (HD), has permitted us to identify individuals with a high probability of being homozygous for this autosomal dominant neurodegenerative disorder.",0
3121,26,Mention computational tools that have been developed for alternative polyadenylation (APA) sites analysis,TAPAS: tool for alternative polyadenylation site analysis.Supplementary data are available at Bioinformatics online.,0
215,10,What systems have been developed for the numbering of antibody residues?,On the basis of the residues at key sites the 79 hypervariable regions can be assigned to one of 18 different canonical structures.,1
1546,29,Is Rac1 involved in cancer cell invasion?,"Our data demonstrate that the activation of H-Ras and the downstream molecule Rac1 correlates with EGF-induced breast cancer cell invasion, providing important information on the regulation of malignant progression in mammary carcinoma cells.",0
290,2,Mutation of which gene is associated with Achondroplasia?,Achondroplasia can be diagnosed by characteristic clinical and radiographic findings in most affected individuals.,0
331,1,Which R/bioconductor package is used for integrative genomics visualizations?,"Interpretation and communication of genomic data require flexible and quantitative tools to analyze and visualize diverse data types, and yet, a comprehensive tool to display all common genomic data types in publication quality figures does not exist to date.",1
1116,4,Mutation of which gene and which chromosome cause Neurofibromatosis type I?,"In addition to reporting, in accompanying papers, their individual analyses of mapping the neurofibromatosis type 1 (NF1) gene on chromosome 17, members of the International Consortium for NF1 Linkage contributed their data for our joint analysis to determine the exact sequence of flanking markers and to obtain precise estimates and confidence limits of the recombination fractions for the closest markers, in anticipation of clinical use.",0
1061,6,Which proteins have been identified as RET ligands?,"Five germline mutations in the glial cell-line-derived neurotrophic factor (GDNF) gene, one of the RET ligands, have been detected in HSCR patients.",1
1422,25,Describe Hot water reflex epilepsy.,"&quot;Hot water epilepsy&quot; (HWE), precipitated by a bath or shower in hot water, has been described infrequently in the literature.",0
1580,7,Do Conserved noncoding elements act as enhancers?,Animal genomes possess highly conserved cis-regulatory sequences that are often found near genes that regulate transcription and development.,0
501,11,Is Kanzaki disease associated with deficiency in alpha-N-acetylgalactosaminidase?,"Schindler disease and Kanzaki disease are caused by a deficient lysosomal enzyme, alpha-N-acetylgalactosaminidase (E.C.3.2.1.49).",0
2540,10,List symptoms of the Zieve's syndrome.,"In 1958 Zieve described a syndrome of jaundice, hyperlipidaemia, and transient haemolytic anaemia associated with alcohol abuse.",1
4191,8,What year was the first successful human heart transplant performed?,"Since the first human heart transplantation was performed in 1967, the field of heart transplantation has advanced to the point where survival and acceptable quality of life are commonplace.",0
383,11,How many periods of regulatory innovation led to the evolution of vertebrates?,"Early vertebrate evolution was characterized by regulatory gains near transcription factors and developmental genes, but this trend was replaced by innovations near extracellular signaling genes, and then innovations near posttranslational protein modifiers.",1
1660,16,Which population has a high frequency of the HLA-B*1502 allele?,A very strong association of carbamazepine-induced SJS with HLA-B*1502 has recently been described in the Han Chinese population.,0
3076,0,Which proteins are markers of HPV oncogenic activity?,Overexpression of p16 INK4a as an indicator for human papillomavirus oncogenic activity in cervical squamous neoplasia.,1
662,0,How does dabigatran therapy affect aPTT in patients with atrial fibrillation?,He had been started on dabigatran 150 mg twice a day about 4 months ago as an outpatient by his cardiologist.,0
553,7,What is the role of ELMO1 gene in cell migration?,"Gi signalling and ELMO1 are both required for CXCL12-mediated actin polymerization, migration and invasion of breast cancer cells.",0
1934,12,What makes telomerase a good drug target?,The differential expression of telomerase in cancer cells makes it an attractive therapeutic target,0
509,6,Is phospholamban a regulatory/inhibitory protein of the Ca ATPase SERCA?,Calcium transport across the membrane of the sarcoplasmic reticulum (SR) plays an important role in the regulation of heart muscle contraction and relaxation.,0
765,23,List available methods for transmembrane protein topology prediction.,This paper presents a Hidden Markov Model (referred to as HMM_RA) that can predict the topology of alpha-helical transmembrane proteins with improved performance.,0
2320,5,Which topoisomerase is essential in yeast?,Topoisomerase II is a ubiquitous enzyme that removes knots and tangles from the genetic material by generating transient double-strand DNA breaks.,0
4048,3,Where is the organ of Corti located?,"The cochlea, a coiled structure located in the ventral region of the inner ear, acts as the primary structure for the perception of sound.",1
867,11,Are psammoma bodies characteristic to meningiomas?,This is the first report to describe the involvement of type VI collagen in psammoma bodies and whorl formations in meningiomas.,1
206,0,Between which probes does the recurrent translocation breakpoint on chromosome 22 of neuroepithelioma lie?,"The recurrent translocation breakpoint on chromosome 22 of neuroepithelioma has been localized between two probes, D22S1 and D22S15, by both in situ hybridization and somatic cell hybrids",1
3732,27,What is herceptin?,"Herceptin, an antihuman epidermal growth factor receptor-2 (anti-HER2) monoclonal antibody, is used to treat HER2+ breast cancer.",0
876,34,Can fetal aneuploidy be detected with non-invasive prenatal testing?,"The clinical data collected thus far indicate that NIPT is highly sensitive in detecting trisomies 21 and 18, and fairly sensitive in detecting trisomy 13 and sex chromosome aneuploidies.",0
225,48,Is it safe to take isotretinoin during pregnancy?,"If supplementation by vitamin A is unavoidable during pregnancy, B-carotene should be preferred.",0
140,80,In which proteins is the chromodomain present?,OBJECTIVE: Chromodomain helicase/adenosine triphosphatase DNA binding protein 1-like (CHD1L) is an SNF2-like transcription factor involved in the development of human hepatocellular carcinoma (HCC).,0
1848,3,Is rucaparib used for ovarian cancer treatment?,Ovarian Cancers Harbour Defects in Non-Homologous End Joining Resulting in Resistance to Rucaparib.,0
4112,5,Is there a role for TFII-I in megakaryopoiesis?,We conditionally deleted the TFII-I/Gtf2i gene in adult mice by tamoxifen induced Cre-recombination.,0
4003,22,What is Hikikomori syndrome?,"A form of severe social withdrawal, called hikikomori, has been frequently described in Japan and is characterized by adolescents and young adults who become recluses in their parents' homes, unable to work or go to school for months or years.",0
1992,3,Is there a role of proton beam therapy in medulloblastoma treatment?,BACKGROUND: The aim of this study is to evaluate the cost-effectiveness of proton beam therapy with cochlear dose reduction compared with conventional X-ray radiotherapy for medulloblastoma in childhood.METHODS: We developed a Markov model to describe health states of 6-year-old children with medulloblastoma after treatment with proton or X-ray radiotherapy.,0
201,3,What is the suggested therapy for Mycobacterium avium infection?,TM4 is a lytic mycobacteriophage that kills both extracellular M. avium and M. tuberculosis.,0
2975,29,Is dupilumab effective for treatment of asthma?,"Expert opinion: Supported by a strategic mechanism of action, as well as by convincing preliminary clinical results, dupilumab currently appears to be a very promising biological drug for the treatment of severe uncontrolled asthma.",0
443,6,"Can we detect DNA strand asymmetries using dinucleotide relative abundance ""genomic signatures""?",Early biochemical experiments measuring nearest neighbor frequencies established that the set of dinucleotide relative abundance values (dinucleotide biases) is a remarkably stable property of the DNA of an organism.,0
3826,5,HER-2 belongs to what family of proteins?,"Of this family, HER2 does not bind growth factors",0
2326,1,How may CTCF mediate splicing?,The first involves modulation of the elongation rate of RNA polymerase II (Pol II) by CCCTC-binding factor (CTCF) and methyl-CpG binding protein 2 (MeCP2); the second involves the formation of a protein bridge by heterochromatin protein 1 (HP1) that recruits splicing factors onto transcribed alternative exons.,1
3850,13,How can B-cells transdifferentiate into macrophages?,Forced C/EBPalpha expression furthermore induces direct transdifferentiation of immature thymocytes or B cells into macrophages.,0
1696,13,What is the mechanism of viroid replication?,Viroids are not translated; they are replicated by a host enzyme (or enzymes) (probably RNA polymerase II) via oligomeric RNA intermediates by a rolling circle mechanism.,0
299,1,Has the protein SETMAR (Metnase) a transposase domain?,The transposase domain protein Metnase/SETMAR suppresses chromosomal translocations.,1
4055,32,Is progeria caused by an autosomal recessive gene?,"Werner syndrome, also called adult progeria, is a heritable autosomal recessive human disorder characterized by the premature onset of numerous age-related diseases including juvenile cataracts, dyslipidemia, diabetes mellitus (DM), osteoporosis, atherosclerosis, and cancer.",0
1036,1,What is the name for anorexia in gymnasts?,We studied 13 female juvenile elite gymnasts with anorexia athletica (AA,1
957,11,Is selenium deficiency involved in autoimmune thyroid disease?,"Maintenance of ""selenostasis"" via optimal intake not only aids preservation of general health but also contributes substantially to the prevention of thyroid disease",0
